project,callsite,bug type (SStuBs),bug realted message in commit,dataset,issue creater role,issue tag,issue/pull request url,fix commit url
javamelody/javamelody,Class.forName(),OVERLOAD_METHOD_MORE_ARGS,fix for issue 261: use thread context-classloader to load jdbc-driver,ManySStuBs4J,user,auto-migrated,https://github.com/javamelody/javamelody/issues/261,https://github.com/javamelody/javamelody/commit/ee83171b506ca86a74b6ed56db2e7cf68f6cf31b
BroadleafCommerce/BroadleafCommerce,Class.forName(),LESS_SPECIFIC_IF,Fixed an issue where some joinstructure fields would be ignored when … …populating an entity instance (cherry picked from commit 213938a),ManySStuBs4J,NA,NA,NA,https://github.com/BroadleafCommerce/BroadleafCommerce/commit/6776f695cd09aa4b2a60779159596767cff7b749
chrisjenx/Calligraphy,Class.forName(),OVERLOAD_METHOD_DELETED_ARGS,"fixed check, actually need to instantiate it if it exists.",ManySStuBs4J,user,bug,https://github.com/chrisjenx/Calligraphy/pull/86,https://github.com/chrisjenx/Calligraphy/commit/435319f273391c4f886f6908c2a7fc7c3dda9e13
apache/flink,Class.forName(),OVERLOAD_METHOD_MORE_ARGS,Fix class loader when extracting lambdas,ManySStuBs4J,NA,NA,NA,https://github.com/apache/flink/commit/624fe959786106291c0b422f5e3d95f16ce9ff1f
apache/tomcat,Class.forName(),CHANGE_CALLER_IN_FUNCTION_CALL,bug 41797: CNFE/NPE thrown from function mapper when externalizing Patch by Tuomas Kiviaho- tuomas.kiviahos at ikis fi,ManySStuBs4J,NA,NA,NA,https://github.com/apache/tomcat/commit/4461a96d8bb2c2f6132e5f370cf0d47ad18c7adb
apache/axis-axis2-java-core,Class.forName(),OVERLOAD_METHOD_MORE_ARGS,Fixed issues with getting the wrong ClassLoader.,extended,NA,NA,NA,https://github.com/apache/axis-axis2-java-core/commit/8322ec78ac6ddfd08831e9d6fc157afa56ca4870
junit-team/junit4,"Class.getMethod();
Class.getConstructor(); 
Method.invoke()",OVERLOAD_METHOD_DELETED_ARGS,Fix rawtype compiler warnings found when compiling with JDK7,ManySStuBs4J,Member,NA,https://github.com/junit-team/junit4/pull/598,https://github.com/junit-team/junit4/commit/ef8206551c0ec51f70ec25e7371333dc5c8d99b1
dbeaver/dbeaver,Method.invoke(),CHANGE_CALLER_IN_FUNCTION_CALL,Oracle: TIMESTAMPTZ reading fix,ManySStuBs4J,user,bug can't reproduce x:oracle,https://github.com/dbeaver/dbeaver/issues/4348,https://github.com/dbeaver/dbeaver/commit/9b379bdcf6665e53ede4806fd0b121c7e842cdee
mockito/mockito,Method.invoke(),OVERLOAD_METHOD_MORE_ARGS,Fix test for inline byte code generator,ManySStuBs4J,user,"in progress
java-11",https://github.com/mockito/mockito/issues/1577,https://github.com/mockito/mockito/commit/228f924204ae54d2a08b96a7bae442be52861fbc
spring-projects/spring-framework,Method.invoke(),CHANGE_IDENTIFIER,Jms2MessageProducerInvocationHandler properly delegates to CachedMess…,ManySStuBs4J,Collaborator,type: bug,https://github.com/spring-projects/spring-framework/issues/16566,https://github.com/spring-projects/spring-framework/commit/134e5a2aecf913bcc184d5d3ae845a13d5369078
zaproxy/zaproxy,"Method.invoke()
Class.getMethod()",OVERLOAD_METHOD_DELETED_ARGS,"Changes to avoid compilation warnings ""non-varargs call of varargs me…

…thod with inexact argument type for last parameter"" in DirBuster code.",ManySStuBs4J,NA,NA,NA,https://github.com/zaproxy/zaproxy/commit/e1b1071bdc6473975cf8109c3ba0cee7d5c43ac0
apache/cxf,Method.invoke(),CHANGE_IDENTIFIER,Fix the object that invoke is being called on,ManySStuBs4J,NA,NA,NA,https://github.com/apache/cxf/commit/881d48381b5d762e2bb3a15e180255981706845c
JakeWharton/ActionBarSherlock,Method.invoke(),CHANGE_IDENTIFIER,Fixed invocation of onClick handlers on options menus,ManySStuBs4J,NA,NA,NA,https://github.com/JakeWharton/ActionBarSherlock/commit/d41aad3b391de7aeb6b43e16692b974e5a35148e
deeplearning4j/nd4j,Method.invoke(),OVERLOAD_METHOD_MORE_ARGS,syev: Added cuda 7.5 compatability - fail at runtime with not support… …ed error,ManySStuBs4J,Contributor,NA,https://github.com/deeplearning4j/nd4j/pull/1841,https://github.com/deeplearning4j/nd4j/commit/bc4ba3c244f286a8010482daa7d8d5376c79635a
eclipse/jetty.project,Method.invoke(),OVERLOAD_METHOD_MORE_ARGS,Issue 113 - CustomRequestLog changed the log type to include the response,ManySStuBs4J,Contributor,"Enhancement
Help Wanted",https://github.com/eclipse/jetty.project/issues/113,https://github.com/eclipse/jetty.project/commit/22e7679dd681f7f16dc5e795317e15a95403b597
JetBrains/intellij-plugins,Method.invoke(),OVERLOAD_METHOD_MORE_ARGS,IDEA-121060 Multiple carets: comment/uncomment works incorrectly Fix for 'comment by block comment' action,ManySStuBs4J,NA,Bug,https://youtrack.jetbrains.com/issue/IDEA-121060,https://github.com/JetBrains/intellij-plugins/commit/771c6467256b569dbb946e5896a7e1989965c53f
processing/processing,Method.invoke(),CHANGE_IDENTIFIER,handful of bug fixes and more notes and todo shuffling,ManySStuBs4J,NA,NA,NA,https://github.com/processing/processing/commit/d2cb281a8cf97598847e63a6eae039bac1ed95b4
apache/tomcat,Method.invoke(),CHANGE_IDENTIFIER,Fix BZ52015.JdbcInterceptor passes not 'this' but 'proxy' to getNext().invoke. ,ManySStuBs4J,NA,NA,NA,https://github.com/apache/tomcat/commit/7446259923e31c0b79271c589873df551ba4a73c
oblac/jodd,Method.invoke(),CHANGE_IDENTIFIER,test fixed.,ManySStuBs4J,NA,NA,NA,https://github.com/oblac/jodd/commit/2a079dbcbf84cffd9f7013c32d67a4dd1b34b33a
apache/attic-polygene-java,Method.invoke(),CHANGE_IDENTIFIER,Same fix for entities as for transients with regard to what proxy is … …sent down the method invocation chain,extended,NA,NA,NA,https://github.com/apache/attic-polygene-java/commit/1bc052f6135957588e87c953be91db073eb51329
apache/maven-site-plugin,Method.invoke(),OVERLOAD_METHOD_DELETED_ARGS,More code analysis fixes,extended,NA,NA,NA,https://github.com/apache/maven-site-plugin/commit/2e5f916427cf83be94423e2f16caf907487c9bf1
JetBrains/intellij-community,Class.getDeclaredField(),DIFFERENT_METHOD_SAME_ARGS,A fix for Groovy formatter tests (using getField() instead of getDecl…,ManySStuBs4J,NA,NA,NA,https://github.com/JetBrains/intellij-community/commit/3943eb1f3833c96392538fe671c05d7718a81039
grails/grails-core,Class.getDeclaredMethod(),DIFFERENT_METHOD_SAME_ARGS,The dynamic ${propertyName}Id property was not being inherited into sublcasses properly.,ManySStuBs4J,Member,closed: fixed type: bug type: major,https://github.com/grails/grails-core/issues/1151,https://github.com/grails/grails-core/commit/828a214342f8cceebe22bf30ca9faec6eb13c2f6
M66B/XPrivacy,Class.getDeclaredField(),DIFFERENT_METHOD_SAME_ARGS,Fixed on demand restricting on some Android Lollipop ROMs,ManySStuBs4J,NA,NA,NA,https://github.com/M66B/XPrivacy/commit/200967dcf16cd3a72645c8668baec9ed83a0a7b7 
apache/ignite,Class.getDeclaredMethod(),CHANGE_CALLER_IN_FUNCTION_CALL,IGNITE-8408 Fixed IgniteUtils.invoke,ManySStuBs4J,Contributor,Bug,https://issues.apache.org/jira/browse/IGNITE-8408,https://github.com/apache/ignite/commit/bcf987a8a3d86c33b2cd5a79f4e585c5cf8a7a12
oracle/graal,Class.getDeclaredMethod(),OVERLOAD_METHOD_MORE_ARGS,fix signature of reflective invocation of ReplacementsImpl.makeGraph,ManySStuBs4J,NA,NA,NA,https://github.com/oracle/graal/commit/186956531c6d6b608ea85ec85d6cdbc4570c5654
raphw/byte-buddy,Class.getConstructor(); ,OVERLOAD_METHOD_MORE_ARGS,Replaced calls to getConstructor with getDeclaredConstructor for test… … cases as some types are volunteerily dealing with non-visible types.,ManySStuBs4J,NA,NA,NA,https://github.com/raphw/byte-buddy/commit/4f9ac881200566d4c61e50fd0dcb07e2952c7f8d
JetBrains/kotlin,Class.getDeclaredMethod(),DIFFERENT_METHOD_SAME_ARGS,Fix compiler,ManySStuBs4J,NA,NA,NA,https://github.com/JetBrains/kotlin/commit/d8f603b3e0bde549f11585987bfeb1c4398fd4d5
apache/ambari,Class.getDeclaredMethod(),OVERLOAD_METHOD_MORE_ARGS,AMBARI-6635. Fix upgrade to respect -env (aonishuk),ManySStuBs4J,Contributor,bug,https://issues.apache.org/jira/browse/AMBARI-6635,https://github.com/apache/ambari/commit/77d613663fc85e017ea380c7f7c1f2681df5a62a
liferay/liferay-portal,"Class.getConstructor(); 
Constructor.newInstance()",OVERLOAD_METHOD_MORE_ARGS,LPS-78833 Fix test,ManySStuBs4J,Contributor,Regression Bug,https://issues.liferay.com/browse/LPS-78833,https://github.com/liferay/liferay-portal/commit/56266fe0a1a875bbbc50090fe86eefad15dd39a7
Alluxio/alluxio,"Class.getConstructor(); 
Constructor.newInstance()",OVERLOAD_METHOD_MORE_ARGS,Fix failed tests due to mismatch on constructors of impl of UnderFile… …SystemCluster class.,ManySStuBs4J,Contributor,NA,https://github.com/Alluxio/alluxio/pull/607,https://github.com/Alluxio/alluxio/commit/b2eec07c6682767e23d09d688fd784afbfee9add
apache/ws-axiom,Class.getDeclaredConstructor(),DIFFERENT_METHOD_SAME_ARGS,Fixes CAMEL-13437: now also looking for constructor in superclasses.,extended,Contributor,bug,https://issues.apache.org/jira/browse/CAMEL-13437,https://github.com/apache/camel-spring-boot/commit/8a4f25a6dcaae2b704bce5794e007131236cb0d7
Atmosphere/atmosphere,Class.newInstance(),CHANGE_CALLER_IN_FUNCTION_CALL,Fix the build,ManySStuBs4J,NA,NA,NA,https://github.com/Atmosphere/atmosphere/commit/1a9bb447fd14415ef270f3dd7af8a0d4e0017177
antlr/antlr4,Class.newInstance(),CHANGE_IDENTIFIER,compile error,ManySStuBs4J,NA,NA,NA,https://github.com/antlr/antlr4/commit/78bc92d81bf9815f4a4c27a5af7cdb88e119b734
apache/mahout,Constructor.newInstance(),OVERLOAD_METHOD_MORE_ARGS,MAHOUT-1119 code bug in org.apache.mahout.text.SequenceFilesFromDirec… …tory,ManySStuBs4J,User,bug,https://issues.apache.org/jira/browse/MAHOUT-1119,https://github.com/apache/mahout/commit/6a8de49a78333bbafddc9877685065d911604942
voldemort/voldemort,Class.newInstance(),CHANGE_IDENTIFIER,Set type of msgObject to Object instead of T since the reason we're c… …reating it is that we're not sure it's actually a T (fixes compiler warning).,ManySStuBs4J,NA,NA,NA,https://github.com/voldemort/voldemort/commit/7a9a009696c09b2b1a39da059407bd0a9bd7c34c
apache/felix-dev,"Class.newInstance()
Constructor.newInstance()","CHANGE_CALLER_IN_FUNCTION_CALL&&
OVERLOAD_METHOD_MORE_ARGS","Fixed an error that tried to make a constructor accessible, but failed.",extended,NA,NA,NA,https://github.com/apache/felix-dev/commit/ec194638a7d398b34dd432e2e82f2bccaab5aa17
eclipse/jetty.project,ClassLoader.loadClass(),OVERLOAD_METHOD_MORE_ARGS,Wrong classloader used to load *MBean classes.,ManySStuBs4J,Contributor,NA,https://github.com/eclipse/jetty.project/issues/3092,https://github.com/eclipse/jetty.project/commit/fc5f21bd483d184ddb79a40d7a683af358cbd6b0
eclipse/jetty.project,ClassLoader.loadClass(),OVERLOAD_METHOD_MORE_ARGS,Issue #1706 Log class uses self Loader,ManySStuBs4J,user,NA,https://github.com/eclipse/jetty.project/issues/1706,https://github.com/eclipse/jetty.project/commit/7b5d3b2b5a6ae31ee5ab0c6202c16df311bc6dd1
apache/camel,ClassLoader.loadClass(),"CHANGE_CALLER_IN_FUNCTION_CALL 
&&OVERLOAD_METHOD_MORE_ARGS",CAMEL-7072 Fixed the Veracode compliance with thanks to Leonid,ManySStuBs4J,NA, Improvement,https://issues.apache.org/jira/browse/CAMEL-7072,https://github.com/apache/camel/commit/e01faced430c1b097957598a4c96359141d8c720
apache/ws-axiom,ClassLoader.getClassLoader(),MORE_SPECIFIC_IF,WSCOMMONS-558: Fixed an issue causing a failure in the new axiom-stax… …dialect-tests module when running on Java 1.6.,extended,NA,bug,https://issues.apache.org/jira/browse/AXIOM-9,https://github.com/apache/ws-axiom/commit/46fffacd2a3714f1c6bd55e39f1cf9bbdebbe2d4
apache/axis-axis2-java-core,"ClassLoader.loadClass()
&&ClassLoader.getClassLoader()","CHANGE_CALLER_IN_FUNCTION_CALL 
&&CHANGE_IDENTIFIER",Fixed AXIS2-5188.,extended,Contributor,bug,https://issues.apache.org/jira/browse/AXIS2-5188,https://github.com/apache/axis-axis2-java-core/commit/9a7bd44fd935063a82ea11278ae85dec8bbd5f7c
Alluxio/alluxio,ServiceLoader.load(),OVERLOAD_METHOD_MORE_ARGS,Fix falling integration tests,ManySStuBs4J,user,Advanced,https://tachyon.atlassian.net/browse/ALLUXIO-1311,https://github.com/Alluxio/alluxio/commit/6ca7d1534779e93064f0dda88c7a0d999c068ecf
ACRA/acra,ServiceLoader.load(),OVERLOAD_METHOD_MORE_ARGS,use fixed classloader for serviceloader,ManySStuBs4J,user,bug,https://github.com/ACRA/acra/issues/656,https://github.com/ACRA/acra/commit/a086efcee48690a3a30549abdd06b26d41713141
docker-java/docker-java,ServiceLoader.load(),CHANGE_IDENTIFIER,Fix compile error,ManySStuBs4J,NA,NA,NA,https://github.com/docker-java/docker-java/commit/7ba7e76e8bbc97d21f3c4c89f2a48949a94b3022
apache/ignite,readObject(),CHANGE_IDENTIFIER,# IGNITE-709 Bug Fix: ClassCastException.,ManySStuBs4J,contributor,Test,https://issues.apache.org/jira/browse/IGNITE-709,https://github.com/apache/ignite/commit/f2e0fc2252d604e0d8ebff14272554dd5e8188fb
bitcoinj/bitcoinj,readObject(),CHANGE_IDENTIFIER,AddressTest: Fix cast.,ManySStuBs4J,NA,NA,NA,https://github.com/bitcoinj/bitcoinj/commit/c4d1f200a9ff030487da713b8cb9eb8febc98223
gradle/gradle,Proxy.getInvocationHandler(),DIFFERENT_METHOD_SAME_ARGS,Fix equals/hashcode contract for TestNGListenerAdapters,ManySStuBs4J,user,bug,https://issues.gradle.org/browse/GRADLE-3189,https://github.com/gradle/gradle/commit/ec956627b1f262d2b18d458e069609cc87e7584d
